[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00e+00     0.00e+00     0.00e+00     0.00e+00     0.00e+00     0.00e+00     0.00e+00     0.00e+00     0.00e+00     
Co           27           0.00000E+00  0.00000E+00  0.00000E+00  1.49e-02     2.06e-02     2.57e-02     3.03e-02     3.51e-02     3.99e-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  1.16e-02     2.06e-02     2.96e-02     3.79e-02     4.51e-02     5.20e-02     5.83e-02     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.52e-02     2.14e-02     2.70e-02     3.24e-02     3.73e-02     
Ga           31           0.00000E+00  0.00000E+00  2.20e-02     4.89e-02     7.93e-02     1.09e-01     1.36e-01     1.61e-01     1.81e-01     
Ge           32           0.00000E+00  0.00000E+00  2.06e-02     4.62e-02     7.56e-02     1.05e-01     1.32e-01     1.57e-01     1.78e-01     
As           33           0.00000E+00  0.00000E+00  1.35e-02     3.06e-02     5.09e-02     7.21e-02     9.17e-02     1.10e-01     1.26e-01     
Se           34           0.00000E+00  0.00000E+00  3.03e-02     6.47e-02     1.03e-01     1.41e-01     1.75e-01     2.05e-01     2.31e-01     
Br           35           0.00000E+00  0.00000E+00  1.65e-02     4.01e-02     6.78e-02     9.70e-02     1.24e-01     1.50e-01     1.72e-01     
Kr           36           0.00000E+00  0.00000E+00  3.88e-02     8.40e-02     1.35e-01     1.85e-01     2.29e-01     2.68e-01     3.01e-01     
Rb           37           0.00000E+00  2.14e-02     5.77e-02     1.00e-01     1.43e-01     1.84e-01     2.20e-01     2.54e-01     2.83e-01     
Sr           38           0.00000E+00  5.39e-02     2.28e-01     4.35e-01     6.15e-01     7.54e-01     8.57e-01     9.36e-01     9.93e-01     
Y            39           0.00000E+00  5.98e-02     2.24e-01     4.13e-01     5.82e-01     7.15e-01     8.14e-01     8.92e-01     9.48e-01     
Zr           40           0.00000E+00  5.05e-02     2.02e-01     3.90e-01     5.63e-01     6.98e-01     7.97e-01     8.73e-01     9.25e-01     
Nb           41           0.00000E+00  0.00000E+00  1.34e-02     4.37e-02     9.19e-02     1.51e-01     2.12e-01     2.71e-01     3.24e-01     
Mo           42           0.00000E+00  2.07e-02     1.13e-01     2.52e-01     3.97e-01     5.18e-01     6.08e-01     6.78e-01     7.25e-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  1.16e-02     7.52e-02     1.85e-01     3.11e-01     4.21e-01     5.05e-01     5.71e-01     6.16e-01     
Rh           45           0.00000E+00  0.00000E+00  3.64e-02     9.46e-02     1.69e-01     2.41e-01     2.99e-01     3.47e-01     3.80e-01     
Pd           46           0.00000E+00  1.97e-02     1.11e-01     2.56e-01     4.11e-01     5.38e-01     6.31e-01     7.02e-01     7.49e-01     
Ag           47           0.00000E+00  0.00000E+00  3.29e-02     8.47e-02     1.52e-01     2.18e-01     2.72e-01     3.16e-01     3.48e-01     
Cd           48           0.00000E+00  2.75e-02     1.37e-01     2.99e-01     4.66e-01     6.00e-01     6.97e-01     7.71e-01     8.20e-01     
In           49           0.00000E+00  1.71e-02     8.95e-02     2.08e-01     3.41e-01     4.54e-01     5.39e-01     6.05e-01     6.49e-01     
Sn           50           0.00000E+00  2.75e-02     1.38e-01     3.03e-01     4.73e-01     6.08e-01     7.06e-01     7.79e-01     8.26e-01     
Sb           51           0.00000E+00  1.07e-02     5.30e-02     1.28e-01     2.23e-01     3.10e-01     3.78e-01     4.32e-01     4.68e-01     
Te           52           0.00000E+00  0.00000E+00  4.06e-02     1.07e-01     1.95e-01     2.76e-01     3.39e-01     3.89e-01     4.21e-01     
I            53           0.00000E+00  0.00000E+00  1.07e-02     3.10e-02     6.20e-02     9.44e-02     1.23e-01     1.46e-01     1.62e-01     
Xe           54           0.00000E+00  0.00000E+00  3.72e-02     1.00e-01     1.87e-01     2.67e-01     3.30e-01     3.79e-01     4.11e-01     
Cs           55           0.00000E+00  1.12e-02     5.20e-02     1.16e-01     2.01e-01     2.83e-01     3.50e-01     4.05e-01     4.41e-01     
Ba           56           0.00000E+00  1.48e-02     1.13e-01     2.91e-01     4.94e-01     6.47e-01     7.52e-01     8.27e-01     8.72e-01     
La           57           0.00000E+00  0.00000E+00  8.12e-02     2.34e-01     4.25e-01     5.72e-01     6.74e-01     7.46e-01     7.90e-01     
Ce           58           0.00000E+00  0.00000E+00  5.72e-02     1.86e-01     3.61e-01     5.04e-01     6.04e-01     6.77e-01     7.22e-01     
Pr           59           0.00000E+00  0.00000E+00  3.10e-02     1.02e-01     2.15e-01     3.21e-01     4.03e-01     4.67e-01     5.08e-01     
Nd           60           0.00000E+00  0.00000E+00  3.23e-02     1.16e-01     2.46e-01     3.62e-01     4.49e-01     5.14e-01     5.56e-01     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  1.51e-02     5.73e-02     1.32e-01     2.10e-01     2.73e-01     3.23e-01     3.56e-01     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.24e-02     3.95e-02     5.55e-02     6.97e-02     7.96e-02     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  2.87e-02     7.03e-02     1.14e-01     1.52e-01     1.83e-01     2.04e-01     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  1.52e-02     4.01e-02     6.85e-02     9.37e-02     1.15e-01     1.29e-01     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  3.05e-02     7.43e-02     1.22e-01     1.62e-01     1.95e-01     2.17e-01     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  1.28e-02     3.38e-02     5.81e-02     8.00e-02     9.85e-02     1.11e-01     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  3.06e-02     7.63e-02     1.27e-01     1.70e-01     2.06e-01     2.30e-01     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  2.50e-02     6.47e-02     1.11e-01     1.52e-01     1.86e-01     2.09e-01     
Yb           70           0.00000E+00  0.00000E+00  1.60e-02     6.43e-02     1.50e-01     2.36e-01     3.07e-01     3.63e-01     4.00e-01     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  3.34e-02     8.48e-02     1.42e-01     1.92e-01     2.33e-01     2.61e-01     
Hf           72           0.00000E+00  0.00000E+00  2.13e-02     8.23e-02     1.87e-01     2.89e-01     3.70e-01     4.34e-01     4.76e-01     
Ta           73           0.00000E+00  0.00000E+00  1.56e-02     6.31e-02     1.49e-01     2.39e-01     3.13e-01     3.73e-01     4.13e-01     
W            74           0.00000E+00  0.00000E+00  2.12e-02     8.32e-02     1.89e-01     2.94e-01     3.78e-01     4.43e-01     4.86e-01     
Re           75           -6.26e-02    -6.35e-02    -5.86e-02    -4.17e-02    0.00000E+00  3.63e-02     7.65e-02     1.12e-01     1.38e-01     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  1.70e-02     3.79e-02     6.28e-02     8.59e-02     1.06e-01     1.20e-01     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.26e-02     1.43e-02     
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.41e-02     4.26e-02     6.01e-02     7.55e-02     8.66e-02     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.84e-02     3.38e-02     4.90e-02     6.28e-02     7.31e-02     
Hg           80           0.00000E+00  0.00000E+00  1.57e-02     6.39e-02     1.51e-01     2.43e-01     3.19e-01     3.80e-01     4.22e-01     
Tl           81           0.00000E+00  0.00000E+00  2.07e-02     8.62e-02     2.01e-01     3.17e-01     4.10e-01     4.81e-01     5.28e-01     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  3.64e-02     1.01e-01     1.80e-01     2.52e-01     3.10e-01     3.48e-01     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.55e-02     2.16e-02     2.63e-02     
