[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       TDU_13       TDU_14       TDU_15       TDU_16       
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ga           31           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.10E-02     1.29E-02     1.46E-02     1.56E-02     
Ge           32           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.12E-02     1.32E-02     1.48E-02     1.58E-02     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.01E-02     1.14E-02     1.22E-02     
Se           34           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.15E-02     1.34E-02     1.53E-02     1.69E-02     1.78E-02     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Kr           36           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.01E-02     1.31E-02     1.62E-02     1.95E-02     2.28E-02     2.61E-02     2.94E-02     3.25E-02     3.48E-02     3.61E-02     
Rb           37           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.03E-02     1.56E-02     2.18E-02     2.89E-02     3.67E-02     4.50E-02     5.36E-02     6.22E-02     7.03E-02     7.64E-02     7.97E-02     
Sr           38           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.53E-02     2.38E-02     3.27E-02     4.18E-02     5.09E-02     5.97E-02     6.82E-02     7.62E-02     8.37E-02     9.00E-02     9.46E-02     9.69E-02     
Y            39           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.59E-02     2.56E-02     3.62E-02     4.75E-02     5.90E-02     7.05E-02     8.19E-02     9.25E-02     1.03E-01     1.11E-01     1.17E-01     1.20E-01     
Zr           40           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.65E-02     2.63E-02     3.69E-02     4.81E-02     5.95E-02     7.10E-02     8.25E-02     9.35E-02     1.04E-01     1.13E-01     1.19E-01     1.22E-01     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mo           42           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.10E-02     1.73E-02     2.39E-02     3.07E-02     3.77E-02     4.48E-02     5.20E-02     5.92E-02     6.60E-02     7.21E-02     7.64E-02     7.85E-02     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.27E-02     1.78E-02     2.29E-02     2.79E-02     3.29E-02     3.78E-02     4.26E-02     4.72E-02     5.14E-02     5.43E-02     5.58E-02     
Rh           45           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.02E-02     1.25E-02     1.48E-02     1.70E-02     1.90E-02     2.09E-02     2.23E-02     2.30E-02     
Pd           46           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.27E-02     1.94E-02     2.66E-02     3.38E-02     4.09E-02     4.80E-02     5.48E-02     6.13E-02     6.74E-02     7.26E-02     7.64E-02     7.83E-02     
Ag           47           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.17E-02     1.39E-02     1.60E-02     1.79E-02     1.96E-02     2.08E-02     2.14E-02     
Cd           48           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.60E-02     2.50E-02     3.46E-02     4.44E-02     5.41E-02     6.37E-02     7.30E-02     8.19E-02     9.00E-02     9.72E-02     1.02E-01     1.05E-01     
In           49           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.38E-02     2.02E-02     2.67E-02     3.30E-02     3.93E-02     4.53E-02     5.11E-02     5.64E-02     6.11E-02     6.44E-02     6.62E-02     
Sn           50           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.77E-02     2.84E-02     4.00E-02     5.21E-02     6.42E-02     7.63E-02     8.81E-02     9.94E-02     1.10E-01     1.19E-01     1.25E-01     1.28E-01     
Sb           51           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.46E-02     2.03E-02     2.63E-02     3.26E-02     3.91E-02     4.55E-02     5.16E-02     5.71E-02     6.11E-02     6.33E-02     
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.22E-02     1.58E-02     1.95E-02     2.32E-02     2.69E-02     3.04E-02     3.38E-02     3.67E-02     3.88E-02     3.98E-02     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     1.44E-02     1.87E-02     2.30E-02     2.74E-02     3.18E-02     3.60E-02     4.00E-02     4.35E-02     4.60E-02     4.73E-02     
Cs           55           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.17E-02     1.84E-02     2.58E-02     3.34E-02     4.13E-02     4.92E-02     5.69E-02     6.40E-02     7.04E-02     7.50E-02     7.75E-02     
Ba           56           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.88E-02     3.88E-02     6.32E-02     8.97E-02     1.17E-01     1.43E-01     1.68E-01     1.93E-01     2.15E-01     2.35E-01     2.51E-01     2.63E-01     2.68E-01     
La           57           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.71E-02     3.62E-02     5.98E-02     8.60E-02     1.13E-01     1.39E-01     1.65E-01     1.90E-01     2.13E-01     2.33E-01     2.50E-01     2.62E-01     2.68E-01     
Ce           58           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.62E-02     3.52E-02     5.92E-02     8.60E-02     1.14E-01     1.41E-01     1.68E-01     1.94E-01     2.18E-01     2.40E-01     2.58E-01     2.70E-01     2.76E-01     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.07E-02     3.71E-02     5.65E-02     7.76E-02     9.94E-02     1.21E-01     1.42E-01     1.62E-01     1.80E-01     1.95E-01     2.05E-01     2.11E-01     
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.17E-02     2.61E-02     4.47E-02     6.59E-02     8.81E-02     1.10E-01     1.32E-01     1.53E-01     1.72E-01     1.89E-01     2.04E-01     2.14E-01     2.19E-01     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.31E-02     2.33E-02     3.55E-02     4.90E-02     6.34E-02     7.81E-02     9.29E-02     1.07E-01     1.21E-01     1.32E-01     1.40E-01     1.44E-01     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.36E-02     1.73E-02     2.08E-02     2.38E-02     2.61E-02     2.73E-02     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.37E-02     2.01E-02     2.76E-02     3.59E-02     4.46E-02     5.38E-02     6.30E-02     7.16E-02     7.92E-02     8.47E-02     8.74E-02     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.45E-02     1.96E-02     2.50E-02     3.05E-02     3.56E-02     4.02E-02     4.36E-02     4.53E-02     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.08E-02     1.63E-02     2.26E-02     2.97E-02     3.73E-02     4.53E-02     5.34E-02     6.13E-02     6.83E-02     7.36E-02     7.63E-02     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.09E-02     1.51E-02     1.94E-02     2.40E-02     2.85E-02     3.26E-02     3.59E-02     3.77E-02     3.78E-02     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.01E-02     1.59E-02     2.28E-02     3.07E-02     3.93E-02     4.84E-02     5.80E-02     6.77E-02     7.70E-02     8.53E-02     9.13E-02     9.41E-02     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.46E-02     2.00E-02     2.57E-02     3.18E-02     3.81E-02     4.43E-02     4.99E-02     5.44E-02     5.68E-02     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.81E-02     3.06E-02     4.51E-02     6.09E-02     7.76E-02     9.46E-02     1.12E-01     1.29E-01     1.45E-01     1.59E-01     1.69E-01     1.74E-01     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.28E-02     2.12E-02     3.02E-02     3.98E-02     4.95E-02     5.94E-02     6.93E-02     7.88E-02     8.73E-02     9.36E-02     9.67E-02     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.07E-02     2.35E-02     4.05E-02     6.02E-02     8.12E-02     1.03E-01     1.25E-01     1.47E-01     1.68E-01     1.87E-01     2.04E-01     2.16E-01     2.22E-01     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.59E-02     3.05E-02     4.75E-02     6.57E-02     8.47E-02     1.04E-01     1.23E-01     1.42E-01     1.60E-01     1.75E-01     1.86E-01     1.92E-01     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.36E-02     4.20E-02     6.29E-02     8.46E-02     1.07E-01     1.28E-01     1.50E-01     1.70E-01     1.89E-01     2.06E-01     2.18E-01     2.23E-01     
Re           75           0.00000E+00  -1.42E-02    -1.42E-02    -1.43E-02    -1.38E-02    -1.16E-02    0.00000E+00  0.00000E+00  0.00000E+00  1.73E-02     2.69E-02     3.65E-02     4.63E-02     5.63E-02     6.58E-02     7.44E-02     8.11E-02     8.48E-02     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.28E-02     1.81E-02     2.37E-02     2.94E-02     3.52E-02     4.11E-02     4.67E-02     5.17E-02     5.53E-02     5.71E-02     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.18E-02     1.48E-02     1.80E-02     2.14E-02     2.49E-02     2.82E-02     3.12E-02     3.34E-02     3.45E-02     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.19E-02     1.48E-02     1.77E-02     2.06E-02     2.31E-02     2.50E-02     2.60E-02     
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.07E-02     2.23E-02     3.83E-02     5.73E-02     7.80E-02     9.91E-02     1.20E-01     1.40E-01     1.59E-01     1.76E-01     1.91E-01     2.02E-01     2.07E-01     
Tl           81           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.99E-02     3.56E-02     5.45E-02     7.53E-02     9.71E-02     1.19E-01     1.39E-01     1.60E-01     1.78E-01     1.94E-01     2.06E-01     2.12E-01     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.04E-02     2.08E-02     3.42E-02     4.98E-02     6.69E-02     8.42E-02     1.01E-01     1.18E-01     1.34E-01     1.48E-01     1.58E-01     1.63E-01     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.21E-02     1.53E-02     1.86E-02     2.17E-02     2.42E-02     2.54E-02     
