[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.46E-02     2.20E-02     3.07E-02     3.69E-02     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ga           31           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.18E-02     1.52E-02     1.93E-02     2.39E-02     2.71E-02     
Ge           32           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.06E-02     1.40E-02     1.78E-02     2.24E-02     2.71E-02     3.04E-02     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.22E-02     1.56E-02     1.95E-02     2.34E-02     2.61E-02     
Se           34           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.38E-02     1.82E-02     2.30E-02     2.84E-02     3.37E-02     3.71E-02     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.06E-02     1.32E-02     1.58E-02     1.75E-02     
Kr           36           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.26E-02     1.95E-02     2.73E-02     3.56E-02     4.42E-02     5.33E-02     6.17E-02     6.66E-02     
Rb           37           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.73E-02     3.02E-02     4.68E-02     6.63E-02     8.77E-02     1.11E-01     1.32E-01     1.44E-01     
Sr           38           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.56E-02     4.73E-02     7.11E-02     9.54E-02     1.19E-01     1.40E-01     1.61E-01     1.77E-01     1.86E-01     
Y            39           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.57E-02     5.00E-02     7.82E-02     1.08E-01     1.38E-01     1.67E-01     1.93E-01     2.15E-01     2.27E-01     
Zr           40           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.64E-02     5.07E-02     7.87E-02     1.09E-01     1.39E-01     1.68E-01     1.95E-01     2.18E-01     2.30E-01     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mo           42           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.72E-02     3.30E-02     5.07E-02     6.95E-02     8.87E-02     1.08E-01     1.28E-01     1.45E-01     1.54E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.32E-02     2.55E-02     3.93E-02     5.31E-02     6.67E-02     8.00E-02     9.35E-02     1.05E-01     1.12E-01     
Rh           45           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.10E-02     1.74E-02     2.41E-02     3.06E-02     3.69E-02     4.33E-02     4.90E-02     5.23E-02     
Pd           46           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.93E-02     3.65E-02     5.56E-02     7.51E-02     9.39E-02     1.12E-01     1.29E-01     1.43E-01     1.51E-01     
Ag           47           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.05E-02     1.66E-02     2.31E-02     2.94E-02     3.56E-02     4.16E-02     4.67E-02     4.96E-02     
Cd           48           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.45E-02     4.72E-02     7.27E-02     9.86E-02     1.24E-01     1.47E-01     1.69E-01     1.88E-01     1.98E-01     
In           49           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.51E-02     3.01E-02     4.72E-02     6.47E-02     8.15E-02     9.73E-02     1.12E-01     1.25E-01     1.32E-01     
Sn           50           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.89E-02     5.57E-02     8.62E-02     1.18E-01     1.49E-01     1.78E-01     2.05E-01     2.28E-01     2.40E-01     
Sb           51           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.05E-02     2.20E-02     3.63E-02     5.26E-02     7.00E-02     8.78E-02     1.06E-01     1.21E-01     1.30E-01     
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.80E-02     2.77E-02     3.80E-02     4.85E-02     5.88E-02     6.91E-02     7.78E-02     8.24E-02     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.06E-02     1.38E-02     1.70E-02     2.01E-02     2.29E-02     2.44E-02     
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.06E-02     2.05E-02     3.19E-02     4.41E-02     5.64E-02     6.86E-02     8.06E-02     9.09E-02     9.64E-02     
Cs           55           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.23E-02     2.72E-02     4.61E-02     6.69E-02     8.82E-02     1.09E-01     1.29E-01     1.46E-01     1.56E-01     
Ba           56           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.72E-02     8.31E-02     1.52E-01     2.23E-01     2.89E-01     3.47E-01     3.99E-01     4.44E-01     4.79E-01     4.96E-01     
La           57           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.77E-02     8.54E-02     1.57E-01     2.29E-01     2.97E-01     3.58E-01     4.11E-01     4.58E-01     4.94E-01     5.11E-01     
Ce           58           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.21E-02     9.86E-02     1.79E-01     2.60E-01     3.34E-01     3.99E-01     4.57E-01     5.07E-01     5.44E-01     5.63E-01     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.79E-02     6.10E-02     1.20E-01     1.85E-01     2.49E-01     3.07E-01     3.59E-01     4.04E-01     4.38E-01     4.55E-01     
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.56E-02     8.06E-02     1.50E-01     2.21E-01     2.86E-01     3.43E-01     3.93E-01     4.36E-01     4.69E-01     4.86E-01     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.43E-02     4.70E-02     9.00E-02     1.37E-01     1.85E-01     2.32E-01     2.75E-01     3.14E-01     3.44E-01     3.59E-01     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.61E-02     2.79E-02     4.11E-02     5.50E-02     6.91E-02     8.27E-02     9.39E-02     1.00E-01     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.36E-02     4.68E-02     7.50E-02     1.06E-01     1.38E-01     1.70E-01     2.00E-01     2.24E-01     2.37E-01     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.19E-02     2.55E-02     4.22E-02     6.09E-02     8.07E-02     1.01E-01     1.21E-01     1.36E-01     1.45E-01     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.22E-02     4.30E-02     6.75E-02     9.46E-02     1.23E-01     1.52E-01     1.80E-01     2.02E-01     2.15E-01     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.37E-02     2.70E-02     4.22E-02     5.89E-02     7.62E-02     9.39E-02     1.11E-01     1.23E-01     1.27E-01     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.99E-02     5.68E-02     8.72E-02     1.20E-01     1.53E-01     1.86E-01     2.18E-01     2.44E-01     2.57E-01     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.80E-02     3.52E-02     5.44E-02     7.48E-02     9.62E-02     1.18E-01     1.41E-01     1.60E-01     1.71E-01     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.91E-02     6.20E-02     1.17E-01     1.74E-01     2.29E-01     2.82E-01     3.31E-01     3.77E-01     4.13E-01     4.32E-01     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.45E-02     6.81E-02     1.04E-01     1.39E-01     1.73E-01     2.06E-01     2.38E-01     2.63E-01     2.77E-01     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.61E-02     8.33E-02     1.56E-01     2.29E-01     2.98E-01     3.60E-01     4.16E-01     4.67E-01     5.06E-01     5.26E-01     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.06E-02     7.01E-02     1.34E-01     1.99E-01     2.61E-01     3.17E-01     3.69E-01     4.17E-01     4.53E-01     4.74E-01     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.72E-02     9.00E-02     1.68E-01     2.45E-01     3.14E-01     3.74E-01     4.29E-01     4.78E-01     5.15E-01     5.35E-01     
Re           75           0.00000E+00  -1.36E-02    -1.36E-02    -1.36E-02    0.00000E+00  1.45E-02     4.78E-02     8.54E-02     1.22E-01     1.56E-01     1.90E-01     2.21E-01     2.47E-01     2.63E-01     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.94E-02     3.93E-02     6.31E-02     8.76E-02     1.11E-01     1.35E-01     1.57E-01     1.75E-01     1.85E-01     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.18E-02     1.62E-02     2.07E-02     2.52E-02     2.90E-02     3.12E-02     
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.15E-02     2.19E-02     3.46E-02     4.89E-02     6.40E-02     7.95E-02     9.48E-02     1.07E-01     1.14E-01     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.89E-02     3.05E-02     4.29E-02     5.57E-02     6.89E-02     8.20E-02     9.28E-02     9.88E-02     
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.77E-02     8.87E-02     1.67E-01     2.46E-01     3.17E-01     3.79E-01     4.33E-01     4.80E-01     5.16E-01     5.34E-01     
Tl           81           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.49E-02     1.08E-01     1.94E-01     2.78E-01     3.54E-01     4.21E-01     4.79E-01     5.29E-01     5.66E-01     5.86E-01     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.63E-02     1.02E-01     2.12E-01     3.26E-01     4.31E-01     5.21E-01     5.99E-01     6.66E-01     7.14E-01     7.39E-01     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.48E-02     5.25E-02     9.02E-02     1.34E-01     1.82E-01     2.30E-01     2.71E-01     2.92E-01     
